student_performance,teacher_mobility
0.63,27.9
38.89,0.0
1.03,0.0
23.81,0.0
18.52,100.0
2.27,0.0
6.09,23.6
52.63,50.0
51.61,0.0
33.33,25.0
36.36,0.0
36.17,0.0
58.82,0.0
38.1,0.0
33.33,0.0
41.82,0.0
47.37,0.0
40.63,100.0
15.56,0.0
27.03,0.0
38.89,0.0
53.33,14.3
14.55,0.0
37.5,0.0
32.43,100.0
24.39,0.0
43.75,0.0
32.26,0.0
21.74,0.0
35.0,0.0
50.0,0.0
31.25,0.0
40.74,0.0
42.31,0.0
41.67,0.0
27.78,0.0
18.52,15.0
39.13,50.0
57.14,0.0
63.64,0.0
25.0,0.0
40.0,0.0
35.29,0.0
24.14,0.0
55.36,50.0
41.3,0.0
23.4,100.0
75.0,7.9
11.84,0.0
25.0,0.0
24.17,25.0
29.27,14.3
43.33,0.0
14.29,11.1
43.48,0.0
40.48,7.1
50.0,0.0
43.75,8.1
17.78,0.0
29.41,0.0
39.39,0.0
47.83,20.0
48.57,14.3
45.98,14.3
52.17,50.0
34.15,0.0
43.48,20.0
45.24,0.0
30.0,12.5
69.05,0.0
69.05,0.0
40.63,0.0
50.0,7.1
64.71,0.0
87.5,0.0
74.6,0.0
38.1,0.0
66.67,0.0
57.89,0.0
51.49,0.0
47.37,0.0
18.52,0.0
29.41,0.0
32.43,0.0
46.43,0.0
26.09,0.0
15.12,0.0
56.25,0.0
47.54,0.0
30.43,0.0
37.84,16.7
20.63,0.0
22.86,9.1
39.13,0.0
25.0,0.0
35.29,0.0
59.09,14.3
45.71,0.0
57.14,28.6
38.24,0.0
25.0,100.0
50.0,0.0
69.57,22.2
69.6,28.6
48.39,0.0
68.18,25.0
69.23,0.0
69.23,40.0
40.98,0.0
82.0,33.3
29.37,9.7
44.0,25.0
57.69,0.0
33.33,0.0
46.67,20.0
73.68,0.0
56.25,0.0
34.09,0.0
20.0,50.0
63.41,0.0
14.0,0.0
42.11,0.0
47.62,0.0
17.14,100.0
40.0,5.7
15.63,33.3
71.88,0.0
73.68,16.7
17.39,20.0
35.29,0.0
29.63,0.0
39.47,0.0
36.0,40.0
22.58,0.0
40.0,100.0
22.92,0.0
31.25,0.0
42.86,100.0
36.54,0.0
52.0,0.0
52.0,0.0
28.3,16.7
77.78,0.0
25.0,0.0
20.0,0.0
1.08,0.0
15.38,25.0
12.77,0.0
35.85,0.0
0.63,26.2
11.63,0.0
18.46,0.0
21.28,33.3
19.05,33.3
5.83,27.3
1.05,100.0
5.43,100.0
